"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2011,201101,"January 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,9440,NA,21188,NA,NA,0
"HS",2011,201102,"February 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,13620,NA,34501,NA,NA,0
"HS",2011,201103,"March 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,15692,NA,42595,NA,NA,0
"HS",2011,201104,"April 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,9400,NA,25687,NA,NA,0
"HS",2011,201109,"September 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,600,NA,1402,NA,NA,0
"HS",2011,201110,"October 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,7536,NA,54506,NA,NA,0
"HS",2011,201112,"December 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,1423,NA,1683,NA,NA,0
"HS",2011,201102,"February 2011",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,28,NA,600,NA,NA,0
"HS",2011,201103,"March 2011",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,47,NA,700,NA,NA,0
"HS",2011,201107,"July 2011",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,86,NA,1600,NA,NA,0
