"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2016,201610,"October 2016",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,120,NA,662,NA,NA,0
"HS",2016,201611,"November 2016",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,1460,NA,4700,NA,NA,0
"HS",2016,201612,"December 2016",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,2760,NA,15313,NA,NA,0
"HS",2016,201601,"January 2016",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,257,NA,1400,NA,NA,0
"HS",2016,201602,"February 2016",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,686,NA,1500,NA,NA,0
"HS",2016,201603,"March 2016",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,2569,NA,7800,NA,NA,0
"HS",2016,201604,"April 2016",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,758,NA,3100,NA,NA,0
"HS",2016,201605,"May 2016",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,18920,NA,34900,NA,NA,0
"HS",2016,201606,"June 2016",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,1785,NA,10300,NA,NA,0
"HS",2016,201607,"July 2016",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,39434,NA,62200,NA,NA,0
"HS",2016,201608,"August 2016",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,231245,NA,316900,NA,NA,0
"HS",2016,201609,"September 2016",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,39381,NA,70500,NA,NA,0
"HS",2016,201610,"October 2016",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,137190,NA,238500,NA,NA,0
"HS",2016,201611,"November 2016",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,1638,NA,9400,NA,NA,0
"HS",2016,201612,"December 2016",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,3463,NA,22300,NA,NA,0
"HS",2016,201604,"April 2016",4,0,1,"Imports",124,"Canada",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,6144,NA,18997,NA,NA,0
"HS",2016,201605,"May 2016",4,0,1,"Imports",156,"China",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,4381,NA,12696,NA,NA,0
"HS",2016,201609,"September 2016",4,0,1,"Imports",156,"China",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,42107,NA,360129,NA,NA,0
"HS",2016,201610,"October 2016",4,0,1,"Imports",156,"China",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,36610,NA,313111,NA,NA,0
"HS",2016,201611,"November 2016",4,0,1,"Imports",156,"China",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,6927,NA,54879,NA,NA,0
"HS",2016,201612,"December 2016",4,0,1,"Imports",156,"China",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,4501,NA,38499,NA,NA,0
"HS",2016,201604,"April 2016",4,0,1,"Imports",204,"Benin",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,75000,NA,51870,NA,NA,0
"HS",2016,201605,"May 2016",4,0,1,"Imports",204,"Benin",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,150000,NA,103441,NA,NA,0
"HS",2016,201606,"June 2016",4,0,1,"Imports",204,"Benin",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,25000,NA,17120,NA,NA,0
"HS",2016,201608,"August 2016",4,0,1,"Imports",204,"Benin",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,275000,NA,187990,NA,NA,0
"HS",2016,201609,"September 2016",4,0,1,"Imports",204,"Benin",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,302,"Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304)",NA,NA,NA,NA,NA,NA,300000,NA,205080,NA,NA,0
