region;stat
Башкортостан;132
Марий Эл;81
Мордовия;137
Татарстан;235
Удмуртия;102
Чувашия;117
Пермский край;114
Кировская область;118
Нижегородская область;184
Оренбургская область;116
Пензенская область;175
Самарская область;142
Саратовская область;107
Ульяновская область;120
