"Year","Trade.Flow","Commodity.Code","Netweight..kg."
"2014","Re-imports","305",0
"2015","Exports","305",25244192
"2015","Imports","305",14008105
"2015","Re-exports","305",26850
"2015","Re-imports","305",0
"2016","Exports","305",31941784
"2016","Imports","305",18316178
"2016","Re-exports","305",27406
"2016","Re-imports","305",0
"2017","Exports","305",27103679
"2017","Imports","305",15748803
"2017","Re-exports","305",0
"2017","Re-imports","305",0
"2018","Exports","305",18440060
"2018","Imports","305",14266410.5
"2018","Re-exports","305",139
"2018","Re-imports","305",0
"2019","Exports","305",24789025
"2019","Imports","305",14962668
"2019","Re-exports","305",0
"2019","Re-imports","305",0
"2020","Exports","305",11963824
"2020","Imports","305",4666651.5
"2020","Re-exports","305",941
"2020","Re-imports","305",0
"2010","Exports","306",72624449
"2010","Imports","306",51952731
"2010","Re-exports","306",0
"2010","Re-imports","306",0
"2011","Exports","306",56532204
"2011","Imports","306",48003988
"2011","Re-exports","306",0
"2011","Re-imports","306",0
"2012","Exports","306",48001820
"2012","Imports","306",57781653
"2012","Re-exports","306",0
"2012","Re-imports","306",0
"2013","Exports","306",43731122
"2013","Imports","306",41737381
"2013","Re-exports","306",1962
"2013","Re-imports","306",0
"2014","Exports","306",41653170
"2014","Imports","306",36907710.5
"2014","Re-exports","306",19500
"2014","Re-imports","306",0
"2015","Exports","306",24440988
"2015","Imports","306",37810556
"2015","Re-exports","306",8241
"2015","Re-imports","306",0
"2016","Exports","306",38552902
"2016","Imports","306",63189943
"2016","Re-exports","306",0
"2016","Re-imports","306",3
"2017","Exports","306",42131148
"2017","Imports","306",72204292
"2017","Re-exports","306",7550
"2017","Re-imports","306",0
"2018","Exports","306",34489457
"2018","Imports","306",62335560
"2018","Re-exports","306",1573
"2018","Re-imports","306",0
"2019","Exports","306",39663278
"2019","Imports","306",65967857
"2019","Re-exports","306",0
"2019","Re-imports","306",0
"2020","Exports","306",40023540
"2020","Imports","306",49745525
"2020","Re-exports","306",295
"2020","Re-imports","306",0
"2010","Exports","307",14475710
"2010","Imports","307",23167247
"2010","Re-exports","307",0
"2010","Re-imports","307",0
"2011","Exports","307",15866340
"2011","Imports","307",24388151
"2011","Re-exports","307",0
"2011","Re-imports","307",0
"2012","Exports","307",16080796
"2012","Imports","307",10315803
"2012","Re-exports","307",10945.5
"2012","Re-imports","307",0
"2013","Exports","307",13110899
"2013","Imports","307",8800795
"2013","Re-exports","307",20815.5
"2013","Re-imports","307",163
"2014","Exports","307",14679815
"2014","Imports","307",6723191.5
"2014","Re-exports","307",71135
"2014","Re-imports","307",0
"2015","Exports","307",8238400
"2015","Imports","307",10183622
"2015","Re-exports","307",0
"2015","Re-imports","307",0
"2016","Exports","307",13494760
"2016","Imports","307",18222529
"2016","Re-exports","307",0
"2016","Re-imports","307",0
"2017","Exports","307",12516406
"2017","Imports","307",15571007
"2017","Re-exports","307",0
"2017","Re-imports","307",0
"2018","Exports","307",5079463
"2018","Imports","307",8385599
"2018","Re-exports","307",0
"2018","Re-imports","307",0
"2019","Exports","307",7554000
"2019","Imports","307",15156927
"2019","Re-exports","307",0
"2019","Re-imports","307",0
"2020","Exports","307",2609168
"2020","Imports","307",10437067
"2020","Re-exports","307",31376
"2020","Re-imports","307",0
"2010","Exports","308",0
"2010","Imports","308",0
"2010","Re-exports","308",0
"2010","Re-imports","308",0
"2011","Exports","308",0
"2011","Imports","308",2160
"2011","Re-exports","308",0
"2011","Re-imports","308",0
"2012","Exports","308",9928
"2012","Imports","308",9096335
"2012","Re-exports","308",0
"2012","Re-imports","308",0
"2013","Exports","308",41968
"2013","Imports","308",9120900
"2013","Re-exports","308",0
